Decision Tree,Random Forest
0.5631305655080445,0.581825154693143
0.571722118506854,0.5989810765563113
0.5687344856936871,0.5975150447802562
0.5742910895976301,0.5912286995439124
0.5587342430439988,0.5920356890508826
0.5689535388740783,0.5970591351175831
0.5692713175524347,0.6033715791755119
0.564110180022958,0.5845439762658016
0.5612418434196873,0.577292914098722
0.5723168296681105,0.5945651661582363
0.5642207242316782,0.5864596783766313
0.5639233547997031,0.5855018488383663
0.581370438615233,0.5949515623023398
0.5716414208495547,0.5841179622133227
0.5647556185944732,0.5834561221626128
